Step,Time_s,Height_m,Velocity_m/s,Potential_Energy_J,Kinetic_Energy_J,Total_Energy_J,Energy_Error_J
100,    0.001000,   99.999995,   -0.009807,513474.96784298,     0.02517735,513474.99302033,   0.0002517734
200,    0.002000,   99.999980,   -0.019613,513474.89205917,     0.10070939,513474.99276856,   0.0005035469
300,    0.003000,   99.999956,   -0.029420,513474.76592066,     0.22659613,513474.99251679,   0.0007553204
400,    0.004000,   99.999921,   -0.039227,513474.58942745,     0.40283756,513474.99226501,   0.0010070939
500,    0.005000,   99.999877,   -0.049033,513474.36257955,     0.62943369,513474.99201324,   0.0012588673
600,    0.006000,   99.999823,   -0.058840,513474.08537695,     0.90638452,513474.99176146,   0.0015106408
700,    0.007000,   99.999759,   -0.068647,513473.75781965,     1.23369004,513474.99150969,   0.0017624144
800,    0.008000,   99.999686,   -0.078453,513473.37990766,     1.61135025,513474.99125792,   0.0020141877
900,    0.009000,   99.999602,   -0.088260,513472.95164098,     2.03936516,513474.99100614,   0.0022659613
1000,    0.010000,   99.999509,   -0.098066,513472.47301960,     2.51773477,513474.99075437,   0.0025177348
1100,    0.011000,   99.999406,   -0.107873,513471.94404352,     3.04645907,513474.99050260,   0.0027695082
1200,    0.012000,   99.999293,   -0.117680,513471.36471275,     3.62553807,513474.99025082,   0.0030212816
1300,    0.013000,   99.999171,   -0.127486,513470.73502729,     4.25497176,513474.98999905,   0.0032730551
1400,    0.014000,   99.999038,   -0.137293,513470.05498713,     4.93476015,513474.98974728,   0.0035248286
1500,    0.015000,   99.998896,   -0.147100,513469.32459227,     5.66490324,513474.98949550,   0.0037766020
1600,    0.016000,   99.998744,   -0.156906,513468.54384272,     6.44540101,513474.98924373,   0.0040283755
1700,    0.017000,   99.998582,   -0.166713,513467.71273847,     7.27625349,513474.98899196,   0.0042801491
1800,    0.018000,   99.998410,   -0.176520,513466.83127952,     8.15746066,513474.98874018,   0.0045319225
1900,    0.019000,   99.998229,   -0.186326,513465.89946589,     9.08902252,513474.98848841,   0.0047836959
2000,    0.020000,   99.998038,   -0.196133,513464.91729755,    10.07093909,513474.98823664,   0.0050354695
2100,    0.021000,   99.997837,   -0.205940,513463.88477452,    11.10321034,513474.98798486,   0.0052872429
2200,    0.022000,   99.997626,   -0.215746,513462.80189680,    12.18583629,513474.98773309,   0.0055390164
2300,    0.023000,   99.997405,   -0.225553,513461.66866438,    13.31881694,513474.98748132,   0.0057907899
2400,    0.024000,   99.997175,   -0.235360,513460.48507726,    14.50215228,513474.98722954,   0.0060425635
